Id,Designator,,Quantity,Designation,Supplier and ref
1,PAL+Sound0,,1,AudioJack2_Ground,
2,"H2,H1",,2,MountingHole_Pad,
3,"U6,U5,U4",,3,74HC04,
4,J1,,1,EdgeConnector-P17,
5,XPAL0,,1,CFPS-72,
6,GPU0,,1,ATmega1284-PU,
7,"Q3,Q2,Q1",,3,2N2222,
8,DAD0,,1,D,
9,"U10,U9",,2,MCP6002-xMS,
10,"RB3,RB2,RXNORPU0,RR0,RBC0,RB7,RG1,RMA4,RPDC2,RB1,RB0,RAGC1,RMV1,RPDC1,RMA3,RMA2,RMA10,RRNGPU0,RB6,RB5,RB4,RMA5,RMA0,RPDC0,RBLK0,RMA20,RMA1",,27,10k,
11,"RV2vol1,RV1vol1,RV0vol1",,3,680,
12,"RV0vol0,RV1vol0,RV2vol0",,3,1k,
13,"CD5,CD3,CD4,CD7,CD2,CRNGR0,CD0,CD6,CD1,CR0",,10,100n,
14,"RV0vol2,RV2vol2,RV1vol2",,3,220,
15,"RDAC0,RDAC3,RDAC2,RDAC1,RDAC6,ROC2,RDAC5,RDAC4",,8,3.3k,
16,"JP8,JP7,JP4,JP2,JP5,JP6,JP3,JP1",,8,SolderJumper_2_Open,
17,ZPAL0,,1,75,
18,"U7,U3",,2,MAX4392,
19,"R2DAC2,R2DAC1,R2DAC0,R2DAC8,R2DAC7,R2DAC6,R2DAC5,R2DAC4,R2DAC3",,9,6.8k,
20,"RSC1,RG0",,2,22k,
21,ROC0,,1,100,
22,U11,,1,LTV-817,
23,U8,,1,74HC164,
24,"RPUS1,RXNOR0,RXNOR1",,3,56k,
25,X0,,1,20M,
26,"RMV0,RMV2,RSC2,RCG3",,4,10k,
27,RPUS0,,1,4.7k,
28,ROC1,,1,10k,
29,"CE1,CAD0,CE0",,3,100u,
30,"RI0,RG2",,2,5.6k,
31,CI0,,1,470n,
32,"CC2,CC1,CPUS0",,3,22p,
33,AVRISPMKII0,,1,Conn_02x03_Counter_Clockwise,
34,RIO0,,1,10k,
35,SWR0,,1,SW_Push,
36,U2,,1,74HCT4351,
37,RPUS2,,1,27k,
38,U1,,1,74HC74,
